	SBS7d	SBS10b	SBS13	SBS17b	SBS28
Sample1	0.1586758261472932	0.191126721486271	0.21214159649030892	0.24593880722324318	0.19211704865288373
Sample2	0.21378134594909476	0.15057592244712145	0.23868837817837252	0.22382154927381165	0.17313280415159973
Sample3	0.22501321044798636	0.1867099051617363	0.1977498278051069	0.1906588362992975	0.19986822028587312
Sample4	0.23065568460436092	0.09496739464993015	0.2440197741468284	0.2557759308529999	0.17458121574588056
Sample5	0.19979046267387238	0.18778950480234843	0.2129976366753184	0.19011496005505701	0.2093074357934037
Sample6	0.18845763493075063	0.2038412355359114	0.21574041444313238	0.2493516581696786	0.14260905692052692
Sample7	0.18220896374076048	0.22535823810332503	0.21733372019969766	0.18166834521076958	0.1934307327454472
Sample8	0.18067901835454195	0.18640927900000634	0.22586909935278549	0.19401727864138799	0.21302532465127832
Sample9	0.17343104455702696	0.22350510449788968	0.19414907084610877	0.22231772361641375	0.18659705648256075
Sample10	0.19553027225001443	0.17424040917439437	0.17539911735347471	0.15927313594490072	0.2955570652772157
Sample11	0.22115796193989953	0.22127569762301938	0.1929424215684748	0.18309514751035472	0.18152877135825157
Sample12	0.23345878889818877	0.17639209564750874	0.20315212085744971	0.17433099475248645	0.2126659998443662
Sample13	0.18917727594853648	0.18141504388648075	0.22388540331900436	0.17980048002780885	0.22572179681816965
Sample14	0.21337124611755232	0.19692761057319055	0.15962668500265836	0.19719177438868804	0.2328826839179107
Sample15	0.16096927005885156	0.18478687544295752	0.24361620061455966	0.2363270848836134	0.17430056900001772
Sample16	0.19659026745874159	0.22720369598517753	0.18510590315056602	0.21649330682988185	0.17460682657563298
Sample17	0.2209283522443836	0.17547886905064675	0.20492931021629143	0.21471210509218877	0.1839513633964894
Sample18	0.21259903151678414	0.17927878618203114	0.21207171562102026	0.16847100174709254	0.22757946493307185
Sample19	0.2098214410415061	0.19532160227216702	0.17439458257995294	0.22188812803250704	0.1985742460738668
Sample20	0.19264444612831358	0.2381199625393107	0.17905211870629698	0.1464565737930058	0.24372689883307297
Sample21	0.2204809954484157	0.24681675277963075	0.16316276689460119	0.18033308321610717	0.1892064016612451
Sample22	0.15718201667023862	0.26037178876580713	0.1790514411842953	0.2234608228230229	0.17993393055663606
Sample23	0.1870635778109276	0.26600911349390793	0.21313801737440285	0.19813622628704552	0.1356530650337161
Sample24	0.2201859183546248	0.19896530271970642	0.18896069114876854	0.17357197603053215	0.21831611174636814
Sample25	0.23359650232261706	0.17990655693133187	0.21100586843563243	0.2043893932599749	0.17110167905044366
Sample26	0.17838653132825655	0.2525728778907877	0.1853204678755179	0.1992097091106352	0.18451041379480254
Sample27	0.24283303000599374	0.1767978723521736	0.1933144262202119	0.21131625733225137	0.17573841408936952
Sample28	0.20931317927143192	0.22729184370867586	0.17159332564422333	0.22553025398901938	0.16627139738664945
Sample29	0.1946577119472869	0.16516219293876583	0.20384404326962208	0.2411464016389346	0.19518965020539056
Sample30	0.2167578552012446	0.18603699903618617	0.24640970629693576	0.17782107685465445	0.172974362610979
Sample31	0.18886959013177726	0.20605108367516958	0.20048802803822394	0.18895099625136239	0.21564030190346678
Sample32	0.1457652220160966	0.2291891044850019	0.18107017774407153	0.18286305439035447	0.2611124413644756
Sample33	0.22030999178532853	0.2322671247336271	0.18688428335213975	0.20506775988704712	0.1554708402418575
Sample34	0.21707966580522503	0.19088312727126047	0.16216842316830699	0.1848704021962751	0.24499838155893255
Sample35	0.21578499362136405	0.1953735910423748	0.18049492473930637	0.20614847567978772	0.2021980149171671
Sample36	0.19870837003128225	0.21382927052711012	0.1840195282193645	0.27792934853260604	0.12551348268963713
Sample37	0.24197042338817185	0.14089480700481286	0.21123096011934214	0.2216560646311706	0.1842477448565025
