SBS7d	SBS10b	SBS13	SBS17b	SBS28
0	0.373493975903614	0.373493975903614	0.253012048192771	0
1	0	0	0	0
1	0	0	0	0
0	0	0.491071428571429	0	0.508928571428571
1	0	0	0	0
1	0	0	0	0
0.396039603960396	0.227722772277228	0.227722772277228	0.148514851485149	0
0.666666666666667	0	0	0	0.333333333333333
0.684210526315789	0	0.315789473684211	0	0
0.675213675213675	0	0	0	0.324786324786325
0	0.311827956989247	0.344086021505376	0	0.344086021505376
0.666666666666667	0	0.333333333333333	0	0
0.448275862068966	0.28735632183908	0.264367816091954	0	0
0.64	0	0.36	0	0
0.633663366336634	0.366336633663366	0	0	0
0.641791044776119	0.358208955223881	0	0	0
0.663157894736842	0	0.336842105263158	0	0
1	0	0	0	0
0.62037037037037	0.37962962962963	0	0	0
0.64	0.36	0	0	0
0.504854368932039	0	0.262135922330097	0	0.233009708737864
0.504761904761905	0	0.247619047619048	0	0.247619047619048
0.681818181818182	0	0.318181818181818	0	0
0.672413793103448	0	0.327586206896552	0	0
0.465346534653465	0.277227722772277	0.257425742574257	0	0
0.475609756097561	0.24390243902439	0.280487804878049	0	0
0.509433962264151	0	0.254716981132075	0	0.235849056603774
0	1	0	0	0
0.659340659340659	0.340659340659341	0	0	0
0.688679245283019	0	0	0	0.311320754716981
0.484848484848485	0.272727272727273	0.242424242424242	0	0
0	0	1	0	0
0.42	0.19	0.21	0	0.18
0.649484536082474	0	0.350515463917526	0	0
0.674698795180723	0	0.325301204819277	0	0
0.494845360824742	0.257731958762887	0.247422680412371	0	0
0.4875	0	0.2625	0	0.25
0.49438202247191	0.235955056179775	0.269662921348315	0	0
0.666666666666667	0.333333333333333	0	0	0
1	0	0	0	0
0.483516483516484	0	0.274725274725275	0	0.241758241758242
0.67741935483871	0	0.32258064516129	0	0
0.660194174757282	0	0.339805825242718	0	0
0.673469387755102	0	0	0	0.326530612244898
1	0	0	0	0
0.677083333333333	0.322916666666667	0	0	0
0.653465346534653	0	0.346534653465347	0	0
0.669811320754717	0	0.330188679245283	0	0
0.464912280701754	0.271929824561404	0.263157894736842	0	0
0.63302752293578	0	0.36697247706422	0	0
1	0	0	0	0
1	0	0	0	0
0.673076923076923	0.326923076923077	0	0	0
0.528846153846154	0.240384615384615	0	0	0.230769230769231
0.658823529411765	0	0	0	0.341176470588235
1	0	0	0	0
0.479338842975207	0.272727272727273	0.247933884297521	0	0
0.738636363636364	0	0	0.261363636363636	0
0.640449438202247	0.359550561797753	0	0	0
0.660550458715596	0	0.339449541284404	0	0
0.495495495495495	0.243243243243243	0.261261261261261	0	0
0.494949494949495	0.262626262626263	0.242424242424242	0	0
0.475247524752475	0	0.277227722772277	0	0.247524752475248
0.739130434782609	0	0	0.260869565217391	0
1	0	0	0	0
0.671232876712329	0	0.328767123287671	0	0
0.675925925925926	0	0.324074074074074	0	0
1	0	0	0	0
0.49	0.25	0.26	0	0
0.680412371134021	0	0.319587628865979	0	0
0.666666666666667	0	0.333333333333333	0	0
0.719101123595506	0	0	0.280898876404494	0
0.475609756097561	0.25609756097561	0.268292682926829	0	0
0.660550458715596	0	0	0	0.339449541284404
0.491379310344828	0.258620689655172	0.25	0	0
0.644444444444444	0	0.355555555555556	0	0
0	1	0	0	0
0.69	0	0	0	0.31
0.676470588235294	0	0.323529411764706	0	0
0.674698795180723	0	0	0	0.325301204819277
0	0	1	0	0
0.66304347826087	0	0.33695652173913	0	0
0.655913978494624	0	0.344086021505376	0	0
0.491666666666667	0.25	0.258333333333333	0	0
1	0	0	0	0
0.675675675675676	0	0.324324324324324	0	0
0.656565656565657	0.343434343434343	0	0	0
0	0	1	0	0
1	0	0	0	0
0.403669724770642	0.192660550458716	0.220183486238532	0	0.18348623853211
1	0	0	0	0
0.666666666666667	0.333333333333333	0	0	0
0.648148148148148	0.351851851851852	0	0	0
1	0	0	0	0
0.652777777777778	0	0.347222222222222	0	0
0.5	0.25609756097561	0.24390243902439	0	0
0.675675675675676	0.324324324324324	0	0	0
0.65979381443299	0	0.34020618556701	0	0
0.675	0	0.325	0	0
0.658823529411765	0	0.341176470588235	0	0
