	SBS7d	SBS10b	SBS13	SBS17b	SBS28
Sample1	0.2829516158744719	0.13341723585036477	0.20852175311062954	0.2858349609654336	0.08927443419910024
Sample2	0.2789209313677814	0.1808270499183213	0.19202338808158503	0.1714114678030889	0.17681716282922333
Sample3	0.27043248802689535	0.19782506240329814	0.13388958187436434	0.19084927319213685	0.20700359450330535
Sample4	0.16423061459963054	0.2590470188522938	0.15939438453800608	0.08187665090479664	0.335451331105273
Sample5	0.0	0.0	0.0	0.44514537408127564	0.5548546259187244
Sample6	0.15512133434770653	0.1437604943836834	0.31781493140010153	0.23682973107262903	0.14647350879587936
Sample7	0.0	0.0	0.47497476529718086	0.0	0.5250252347028191
Sample8	0.2159402493232896	0.1640159633626395	0.21919995116476682	0.17435835915882134	0.22648547699048271
Sample9	0.0981123691881758	0.2695192786680022	0.24156546234630277	0.25212812091198167	0.1386747688855377
Sample10	0.19504859997360588	0.18614983375069355	0.2135279184889076	0.17504719070853533	0.23022645707825778
Sample11	0.2559866573676474	0.22135066938401518	0.18990867205463322	0.15932920620652744	0.17342479498717667
Sample12	0.2046123115352167	0.15884882377892598	0.16792474181525652	0.10494266647419999	0.36367145639640086
Sample13	0.26360327604341993	0.23347263871661955	0.1940482410794532	0.02077222208940822	0.2881036220710991
Sample14	0.19795645537313306	0.21982598428023278	0.2424501149055954	0.2051070721903061	0.13466037325073285
Sample15	0.19750917195596723	0.24587534184856666	0.19177936434758766	0.19334638478255717	0.17148973706532133
Sample16	0.19020370947708923	0.28021543318300324	0.17361505731726656	0.13702194242517773	0.21894385759746315
Sample17	0.2773000852251876	0.206911484990861	0.13087551956788654	0.2020485946869553	0.18286431552910937
Sample18	0.2476525607939351	0.2715434188169251	0.16706411759869966	0.16915194935191913	0.14458795343852096
Sample19	0.20036239056389704	0.22854885816945503	0.23236671625008634	0.24151670389522487	0.09720533112133668
Sample20	0.18955931330417147	0.28301337253620784	0.201741997281161	0.19456768754724	0.1311176293312195
Sample21	0.21195336254930913	0.20231443361691406	0.18326696673520354	0.27501906362037176	0.12744617347820147
Sample22	0.2620073537391327	0.23744570449798408	0.18579195398684273	0.21814492280181402	0.09661006497422658
Sample23	0.22496299978939566	0.18830375995315826	0.21296334938873038	0.2090505781735405	0.16471931269517529
Sample24	0.13717670962093312	0.1956916105135137	0.29020880726480847	0.24422580022767704	0.1326970723730678
Sample25	0.2429442688028145	0.1231606597421117	0.20685899103534755	0.17660002809456338	0.25043605232516297
Sample26	0.1673966616661711	0.18724260826815683	0.1474092989172098	0.20782979087765222	0.29012164027081006
Sample27	0.33580355715968496	0.08931764175447897	0.2625605437608791	0.18386652685433708	0.12845173047061986
