"SBS7d"	"SBS10b"	"SBS13"	"SBS17b"	"SBS28"
0.313630185648506	0.132268609075457	0.189142555119508	0.243374942854323	0.121583707302206
0.318528020814321	0.134221407382719	0.192195192222366	0.179690978212354	0.175364401368239
0.297586301053551	0.225242791380011	0.142165944114486	0.229536932158403	0.105468031293548
0.168676578954932	0.248816853367658	0.178971194194222	0.0850277734165581	0.31850760006663
0.171217812727249	0.105423703357122	0.206676112957493	0.193112490517985	0.323569880440152
0.149659922835727	0.119216222803734	0.371396860285026	0.252328676999037	0.107398317076476
0.18613658732437	0.138615803675615	0.329502332323029	0.111328842747602	0.234416433929385
0.191806810900934	0.177723651847681	0.223223649344653	0.202004320894599	0.205241567012133
0.0630455314908339	0.291001667807827	0.21578354888647	0.364524314777943	0.0656449370369261
0.119453341168474	0.246934892734417	0.216122680664139	0.20422633164101	0.21326275379196
0.271397198439581	0.211080806314534	0.198125162809161	0.161142136278843	0.158254696157882
0.24352662727098	0.18156020754744	0.172542657061133	0.109106623153806	0.293263884966642
0.2236432165784	0.218706980049902	0.184262485582811	0.0063385460401783	0.367048771748709
0.21436768470534	0.164871746967732	0.22764380485523	0.208580301766043	0.184536461705655
0.155191675449594	0.248580859597522	0.204379451289599	0.251481526535192	0.140366487128093
0.0957576502353371	0.360293851312757	0.168599688576175	0.153602047616699	0.221746762259031
0.255943395458205	0.22065888044163	0.130873718344507	0.253535481793655	0.138988523962003
0.242871146538308	0.284542583208639	0.150390955895344	0.168988848467602	0.153206465890107
0.133805456347285	0.294935448785192	0.254161971494644	0.257893852988388	0.0592032703844908
0.140355864397659	0.284408260673871	0.21826119734192	0.196865945019434	0.160108732567117
0.241525289204331	0.213332779958883	0.165575250287688	0.274602399395386	0.104964281153712
0.261915403806886	0.202556874887395	0.19094427414008	0.197851492453165	0.146731954712475
0.210566828741633	0.197591928692106	0.216726683898526	0.22161861753832	0.153495941129415
0.0989272669676634	0.227652809152455	0.276863135404467	0.306724184778829	0.0898326036965861
