SBS1	SBS2	SBS3	SBS5	SBS6	SBS7b	SBS7c	SBS7d	SBS8	SBS10a	SBS10b	SBS12	SBS15	SBS16	SBS17a	SBS19	SBS20	SBS21	SBS24	SBS28	SBS30	SBS31	SBS32	SBS33	SBS35	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS45	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS57	SBS58	SBS60	SBS84	SBS87	SBS88	SBS90	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS99
0	0	0.775862068965517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137931034482759	0	0.0862068965517241	0	0	0	0	0	0	0
0	0	0	0.698630136986301	0	0	0	0	0	0	0	0	0	0	0.0821917808219178	0	0.219178082191781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.567567567567568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432432432432432	0	0	0	0
0	0	0.452380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107142857142857	0	0	0	0	0	0	0	0	0.369047619047619	0	0	0	0	0	0
0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.661971830985915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338028169014085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914634146341463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0853658536585366	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828125	0	0	0	0	0	0
0	0	0	0.722222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888888888888889	0	0	0	0	0	0	0	0	0.188888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0958904109589041	0	0	0	0	0	0	0.0958904109589041	0	0	0	0.410958904109589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397260273972603	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650793650793651	0	0.349206349206349	0	0
0	0.102040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.530612244897959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36734693877551	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.228571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226666666666667	0	0	0	0	0	0	0	0.773333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.193548387096774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268817204301075	0	0	0	0	0.537634408602151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652173913043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347826086956522	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.857142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0
0	0	0	0.927710843373494	0	0	0	0	0	0	0.072289156626506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328571428571429	0	0	0	0	0	0	0	0.671428571428571	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367647058823529	0	0	0	0	0.632352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.676923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846153846154	0	0	0	0	0	0	0	0	0	0	0	0.169230769230769	0
