Denovo A	Denovo B	Denovo C	Denovo D
0.35010624209610164	0.0	0.6162349686771208	0.033658789226777626
0.325696261552383	0.003955246220317422	0.41039168046796826	0.2599568117593314
0.34763867616877764	0.0	0.5942439556872217	0.05811736814400078
0.34547230037555876	0.0	0.5533073839114427	0.10122031571299858
0.3994758088305758	0.00033294700639984094	0.4317393044837453	0.16845193967927907
0.33034582934655743	0.0	0.6152799916375684	0.05437417901587406
0.34945388572010877	0.0011847785084902697	0.42898368169121887	0.2203776540801822
0.29408018512665174	0.1974859996792312	0.3345690590699442	0.17386475612417288
0.28374322495320753	0.1354449778264364	0.4560000581658491	0.12481173905450697
0.3274467585194186	0.0	0.49014056285369834	0.18241267862688296
0.36911320770420486	0.0	0.47995472570998915	0.15093206658580585
0.3027210033935488	0.12720534849294568	0.43133592382304176	0.13873772429046374
0.3398452691349151	0.0	0.5207039275184769	0.13945080334660787
0.323165840620009	0.01188123978402496	0.34297387982112026	0.3219790397748458
0.3323254812871169	0.0	0.4850511105100877	0.18262340820279543
0.3540707507828744	0.014808694514808027	0.31054963314449624	0.32057092155782124
0.39460806862875075	0.0	0.5087733063674924	0.09661862500375683
0.3477171294880605	0.0	0.5541604519869617	0.0981224185249777
0.31155196812998553	0.008132775039785928	0.4022267179743659	0.2780885388558627
