Denovo A	Denovo B	Denovo C	Denovo D
0.5547244961093017	0.02771428769862267	0.08763023971083798	0.3299309764812375
0.6902444831618231	0.0	0.16061517991315777	0.14914033692501918
0.5823784750774019	0.08589915731053299	0.15906079373726462	0.17266157387480038
0.5010076736515797	0.12227991777275507	0.037146474985707084	0.3395659335899582
0.5780628724910871	0.07791803057654342	0.01425113084166692	0.3297679660907025
0.5981091395383255	0.033262941665135715	0.07872077552988213	0.28990714326665695
0.5570601781405705	0.1184366229832986	0.11128641346915591	0.21321678540697486
0.6198268413207384	0.14256382861130618	0.05208673670082758	0.18552259336712765
0.6939484234161348	0.14600376106305418	0.06982434125094956	0.09022347426986144
0.5171759363044037	0.14479670920300275	0.09458093273926652	0.24344642175332698
0.6208010099519463	0.0931580235199899	0.1761145060729893	0.10992646045507451
0.5590577565706326	0.1129247126363633	0.09596962192995727	0.23204790886304683
0.5917527879696517	0.012427966395782732	0.06034757164897472	0.33547167398559097
0.6316730300312917	0.017510905334660005	0.11653719428537995	0.23427887034866837
0.4484328700781112	0.1208010201278211	0.03259345060331805	0.3981726591907495
0.6706719943456536	0.17020790376835018	0.07611212636467748	0.08300797552131878
0.5610541333372939	0.22836830429358518	0.030463105315211687	0.18011445705390916
0.5352044228972511	0.08550335962180942	0.14371569583553623	0.23557652164540316
0.6647896351733541	0.07618683367277307	0.06610822041846806	0.1929153107354047
0.618627663559833	0.15371532688469047	0.046444796779374	0.18121221277610233
0.5817302947221104	0.04433143095544361	0.06290673975129728	0.31103153457114885
0.5985155923349312	0.1284129282071278	0.061882556950056754	0.21118892250788424
0.6179260052289843	0.11407939617467285	0.13217224550083354	0.13582235309550927
0.39866227174818997	0.08958630338397007	0.07299502635276417	0.4387563985150758
0.5784570265215366	0.06252512342417578	0.1129378764215869	0.24607997363270065
0.502457763210169	0.0	0.0964231791883153	0.4011190576015158
0.6516534541241983	0.05395347416998395	0.11684572467653555	0.17754734702928227
0.4747967825195041	0.10634328894271729	0.1389072500968945	0.27995267844088423
0.46540230914945774	0.06812272293786903	0.08287457382184368	0.3836003940908295
0.40196844691703193	0.03233078968209302	0.12805537072872947	0.43764539267214564
0.4511506012448591	0.026416186230167504	0.11487826020830455	0.40755495231666894
0.6457209157210165	0.11380252120245447	0.040217328972487296	0.20025923410404164
