Denovo A	Denovo B	Denovo C
0.33333321046766473	0.33333322199024046	0.3333335675420948
0.33333303806385994	0.3333329068626056	0.33333405507353436
0.33333325011612464	0.33333311017665274	0.3333336397072226
0.3333332521024967	0.3333331798267941	0.33333356807070924
0.33333333331609816	0.3333333306780464	0.33333333600585546
0.33333324596508646	0.3333332222603141	0.33333353177459946
0.3333331103177087	0.3333330855113929	0.33333380417089836
0.3333333230866794	0.333333327135877	0.33333334977744355
0.33333332071135646	0.33333332325464804	0.33333335603399544
0.3333331642396851	0.33333305664771007	0.3333337791126048
0.33333325250162804	0.3333331840296239	0.3333335634687481
0.33333332823597855	0.33333332666274773	0.33333334510127377
0.33333317926483746	0.3333331925767952	0.3333336281583673
0.3333328194019498	0.33333279869871196	0.33333438189933823
0.3333331954541307	0.3333330326052859	0.3333337719405834
0.3333329727510064	0.3333328403837792	0.33333418686521443
0.3333331958743608	0.33333322806631194	0.3333335760593273
0.33333323436827045	0.3333332675885726	0.333333498043157
0.3333329966533126	0.33333282168825157	0.3333341816584358
