4	34	20	4	13	79	17	9	46	18	17	1	17	28	24	1	34	17	11	3	19	13	6	3	10	11	7	1	5	13	14	2	32	37	21	70	49	63	55	65	69	38	28	51	33	135	174	80	125	31	22	20	25	7	9	22	25	9	7	10	8	22	13	11	36	59	15	29	41	14	16	20	43	39	16	17	167	38	24	8	39	13	8	42	16	8	12	29	16	6	1	40	19	18	6	27	19
7	117	82	7	59	144	81	24	105	64	45	6	56	135	101	8	170	103	62	7	67	41	25	10	47	36	46	5	45	166	79	10	267	88	62	144	67	130	108	103	118	84	90	125	82	372	268	93	263	75	49	47	73	30	26	30	38	22	27	26	33	72	31	24	67	101	39	55	102	47	59	40	65	65	66	59	107	83	115	40	101	38	21	62	27	23	18	36	36	10	9	42	24	29	20	39	91
6	207	89	15	136	310	141	34	275	92	39	10	37	238	290	19	266	103	45	31	133	66	72	43	88	33	54	20	88	96	131	22	294	196	2895	164	1360	9451	12335	1129	10550	111	1870	149	2101	27148	44552	9540	17029	588	168	233	1378	138	154	115	348	97	65	96	194	432	295	138	1916	327	115	233	445	281	196	124	996	112	76	103	1267	1020	415	352	946	212	143	520	250	81	119	456	418	77	70	684	464	319	287	428	983
13	331	194	36	239	444	229	79	380	122	63	19	70	409	472	46	504	129	71	52	136	80	85	76	132	50	62	36	84	104	174	34	309	362	5619	246	2450	17880	20849	2494	18829	214	3413	186	4212	56225	91941	20290	32258	872	252	326	2475	188	284	146	452	139	99	142	302	546	390	206	2283	494	140	330	669	416	194	209	1653	157	96	197	2678	1331	457	491	975	264	134	253	235	61	96	155	217	69	55	270	499	205	152	182	534
17	112	66	9	75	812	176	91	399	87	43	3	75	150	156	19	203	79	43	16	71	28	21	16	37	18	27	8	17	50	60	8	109	177	923	162	479	2627	3059	411	3001	120	583	136	718	7729	11366	3050	5130	189	68	104	454	46	54	41	92	42	24	29	61	109	66	44	321	148	42	97	145	133	86	52	320	79	37	50	253	291	155	117	199	69	32	59	71	26	25	28	54	17	11	54	93	52	44	53	116
2	93	48	10	50	173	52	23	87	18	28	5	18	139	180	12	141	64	31	32	58	34	38	40	48	18	26	21	43	49	56	25	102	134	2038	83	752	6076	7729	799	5763	100	1308	97	1168	17469	35454	6108	9752	286	89	117	846	65	61	45	99	60	24	64	81	240	96	61	517	228	86	165	368	158	109	79	517	93	62	79	1357	678	210	265	350	81	78	163	99	40	45	83	108	28	30	256	208	118	75	89	228
1	202	104	23	129	451	121	54	258	82	41	13	44	260	331	19	281	70	48	27	90	57	63	51	68	30	37	31	40	64	99	33	190	228	4066	158	1922	11713	14441	1487	13074	165	2657	158	3026	37218	68398	12786	23126	736	191	251	1619	135	142	96	304	124	70	99	215	387	239	128	1606	380	124	238	544	261	129	136	1029	144	72	119	1936	1020	356	342	683	181	128	248	169	66	64	137	165	58	57	399	355	173	145	162	414
16	195	88	18	83	678	173	92	440	96	36	8	58	263	283	26	342	58	35	27	54	57	68	46	122	21	39	24	43	82	147	27	179	161	2019	99	930	5771	7879	867	6909	102	1399	102	1113	11625	23139	5012	9688	315	86	122	758	107	87	73	180	69	41	60	102	360	248	168	1197	217	83	154	326	164	110	95	527	97	53	79	1345	817	343	421	904	110	71	131	113	50	88	105	186	38	26	161	195	142	185	146	474
11	51	40	5	37	76	40	16	61	39	31	6	16	60	50	5	68	47	27	6	33	26	19	6	35	25	31	6	18	74	53	6	131	89	51	161	69	65	96	90	76	46	46	126	42	142	102	60	104	34	28	32	45	18	24	26	26	7	15	20	26	35	24	14	29	54	28	35	65	30	39	33	32	40	38	24	44	40	46	20	52	18	6	22	18	9	17	16	40	8	6	16	13	22	14	11	47
0	80	31	7	52	197	46	23	129	41	15	5	16	85	99	8	118	35	26	16	44	22	24	13	31	10	19	6	17	70	57	16	115	96	1325	80	515	4468	5350	507	4557	64	820	65	948	12592	20371	4727	7398	201	57	70	457	47	59	40	108	46	26	41	58	137	78	53	452	125	34	83	154	116	47	58	382	51	25	49	538	403	153	148	308	57	54	49	57	19	23	39	71	23	20	77	110	57	57	49	151
12	133	93	13	109	458	137	49	266	102	44	7	44	157	206	17	268	60	46	19	82	41	47	28	67	21	31	11	33	52	72	27	160	150	1817	191	905	4688	5690	784	5394	93	1280	154	1405	14065	22311	5293	10083	312	103	129	765	55	135	51	192	63	64	50	97	189	160	72	868	176	59	125	213	134	86	56	510	51	34	51	483	511	166	192	378	94	60	93	78	29	66	64	106	22	26	135	202	104	100	107	242
14	174	102	13	99	447	131	61	264	94	43	7	57	193	212	13	201	82	54	31	108	59	52	37	65	29	45	17	56	81	81	23	186	160	2611	163	1086	6729	8178	783	6894	122	1932	161	1903	25681	43829	8097	13303	432	166	167	1017	89	108	76	157	93	59	89	146	238	149	58	835	289	111	211	454	185	130	116	745	103	100	113	1816	853	279	299	431	190	158	425	130	62	72	148	112	55	59	737	308	158	116	128	266
5	116	72	8	63	446	95	62	263	57	54	9	35	125	115	16	148	64	44	12	68	39	33	21	47	32	40	6	34	89	77	13	160	174	1130	194	468	3008	3737	468	3185	113	746	164	697	10371	17620	3425	5601	207	86	89	448	44	62	50	86	44	36	55	53	125	67	53	306	164	60	100	192	95	84	68	294	90	60	56	366	258	136	114	197	61	43	93	84	28	30	52	123	18	16	129	109	56	49	51	164
