SBS7d	SBS10b	SBS13	SBS17b	SBS28	SBS40b
0.170353982300885	0.194690265486726	0.205752212389381	0.22787610619469	0.201327433628319	0
0.216318785578748	0.153700189753321	0.233396584440228	0.225806451612903	0.170777988614801	0
0.221505376344086	0.165591397849462	0.202150537634409	0.193548387096774	0.217204301075269	0
0.226720647773279	0.139676113360324	0.220647773279352	0.224696356275304	0.188259109311741	0
0.189823874755382	0.197651663405088	0.207436399217221	0.201565557729941	0.203522504892368	0
0.201980198019802	0.192079207920792	0.213861386138614	0.241584158415842	0.15049504950495	0
0.186538461538462	0.209615384615385	0.219230769230769	0.207692307692308	0.176923076923077	0
0.158730158730159	0.182539682539683	0.234126984126984	0.196428571428571	0.228174603174603	0
0.184426229508197	0.237704918032787	0.188524590163934	0.239754098360656	0.149590163934426	0
0.228511530398323	0.171907756813417	0.165618448637317	0.161425576519916	0.272536687631027	0
0.227091633466135	0.215139442231076	0.195219123505976	0.177290836653386	0.185258964143426	0
0.238568588469185	0.204771371769384	0.196819085487078	0.149105367793241	0.210735586481113	0
0.196116504854369	0.188349514563107	0.215533980582524	0.194174757281553	0.205825242718447	0
0.233463035019455	0.200389105058366	0.159533073929961	0.190661478599222	0.215953307392996	0
0	0.241830065359477	0.298474945533769	0.248366013071895	0.211328976034858	0
0.166666666666667	0.260869565217391	0.181159420289855	0.202898550724638	0.188405797101449	0
0.209677419354839	0.169354838709677	0.209677419354839	0.217741935483871	0.193548387096774	0
0.220833333333333	0.170833333333333	0.20625	0.1625	0.239583333333333	0
0.199203187250996	0.201195219123506	0.173306772908367	0.215139442231076	0.211155378486056	0
0.204453441295547	0.222672064777328	0.172064777327935	0.174089068825911	0.226720647773279	0
0.205240174672489	0.262008733624454	0.172489082969432	0.181222707423581	0.179039301310044	0
0.156186612576065	0.245436105476673	0.137931034482759	0.237322515212982	0.223123732251521	0
0.185567010309278	0.272164948453608	0.210309278350515	0.191752577319588	0.14020618556701	0
0.225742574257426	0.2	0.166336633663366	0.154455445544554	0.253465346534653	0
0.264462809917355	0.169421487603306	0.204545454545455	0.202479338842975	0.159090909090909	0
0.19831223628692	0.242616033755274	0.185654008438819	0.213080168776371	0.160337552742616	0
