	SBS3	SBS4	SBS5	SBS8	SBS9	SBS12	SBS25	SBS26	SBS29	SBS35	SBS37	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS44	SBS46	SBS89	SBS92	SBS93	SBS94	SBS95	SBS96	SBS98	SBS99
Sample1	0.0	0.0	0.17789475016266817	0.0	0.0	0.0	0.07585232781544274	0.0	0.0	0.0	0.0	0.262193144130368	0.0541454802694034	0.0	0.28267801632389045	0.05683744394100164	0.0	0.0	0.0	0.0	0.0	0.09039883735722572	0.0	0.0	0.0	0.0
Sample2	0.2892973031825456	0.009999400129599219	0.15821527707665456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014936852524537657	0.13611275957226784	0.009530103630257938	0.13865303800140985	0.0	0.24325526588272744	0.0	0.0	0.0	0.0
Sample3	0.0	0.009468630261293605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09154980695284845	0.0	0.0	0.0	0.1265663711077033	0.17422258886634104	0.0	0.0	0.0	0.13064905241756994	0.0	0.0	0.3598396942954828	0.0	0.10770385609876097	0.0	0.0
Sample4	0.11396817683626247	0.03091821385833164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003952357811259277	0.0	0.08305531781624413	0.0	0.0	0.11526636344000786	0.056766112798546896	0.0	0.0	0.0	0.3242879480091066	0.058593037028161585	0.165414365760928	0.0	0.0	0.04777810664115152	0.0
Sample5	0.0	0.0	0.0	0.0	0.0	0.2236440007105595	0.011011588557054443	0.0	0.0	0.0907018888209113	0.0404454978456247	0.0	0.3855189977914377	0.0	0.0	0.0	0.0	0.0	0.0	0.02687888771677796	0.0	0.0	0.0	0.22179913855763436	0.0	0.0
Sample6	0.0	0.0	0.0	0.1024566785671605	0.0	0.12701130553781928	0.0	0.0	0.0	0.0	0.003052399111438305	0.07853577820104207	0.0610469646194286	0.0	0.0	0.0	0.0	0.0	0.0	0.3492397751848911	0.0	0.0	0.0	0.11409289956495015	0.03995388911850724	0.12461031009476271
Sample7	0.0	0.0	0.3050059524943108	0.0	0.0	0.0	0.0	0.0	0.0	0.1980268858250954	0.0	0.11954686574381354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09067581269282658	0.08288301696457334	0.20386146627938043	0.0	0.0	0.0	0.0
Sample8	0.0	0.15108019945974205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03147657496864822	0.0	0.0	0.0	0.0	0.6853763924758127	0.08119190929485866	0.0	0.0	0.0	0.01624559566765679	0.0	0.0	0.0	0.0010586478823631708	0.0	0.03357068025091843
Sample9	0.0	0.0	0.34444848591069155	0.0	0.0	0.0	0.0	0.0	0.0	0.06395143800931594	0.05688087058622903	0.0	0.0	0.0	0.0	0.0	0.07241739268081876	0.0	0.0	0.4623018128129447	0.0	0.0	0.0	0.0	0.0	0.0
Sample10	0.07342234600262179	0.01691273381827818	0.16389089815181954	0.0	0.047322254682841576	0.0	0.15386093898377842	0.012868906830473181	0.0	0.0	0.0	0.07082066839962504	0.0	0.134184214503118	0.0	0.0	0.09517255328562262	0.0	0.0	0.10888483950306302	0.0	0.12265964583875862	0.0	0.0	0.0	0.0
Sample11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09584091993498392	0.09716126818838995	0.04992692833525865	0.0	0.0	0.20817327688466947	0.0	0.07014752400038432	0.07972465437477282	0.0	0.0	0.24408059162425277	0.08663670669115463	0.0	0.0	0.0	0.06830812996613345	0.0
