SBS2	SBS3	SBS5	SBS7a	SBS7b	SBS7d	SBS10b	SBS10c	SBS12	SBS13	SBS16	SBS17a	SBS18	SBS19	SBS20	SBS21	SBS24	SBS26	SBS27	SBS28	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS42	SBS44	SBS45	SBS47	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS57	SBS58	SBS59	SBS84	SBS85	SBS88	SBS89	SBS90	SBS92	SBS93	SBS94	SBS97	SBS99
0	0.246153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184615384615385	0	0	0	0	0	0	0	0.415384615384615	0	0	0	0	0	0	0.153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.481927710843373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518072289156627	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517241379310345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482758620689655	0	0
0	0.511627906976744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151162790697674	0	0	0	0	0	0	0	0	0	0.337209302325581	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.736842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202702702702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189189189189189	0	0	0.608108108108108	0	0	0	0
0	0	0.917525773195876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0824742268041237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114285714285714	0	0	0	0	0	0	0	0	0	0	0.271428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.614285714285714	0	0	0	0
0	0.558823529411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441176470588235	0	0
0	0	0.352941176470588	0.0882352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558823529411765	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846153846153846	0	0	0	0
