SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS7d	SBS8	SBS10a	SBS10b	SBS12	SBS15	SBS16	SBS17a	SBS19	SBS20	SBS21	SBS22b	SBS24	SBS26	SBS27	SBS28	SBS30	SBS31	SBS32	SBS33	SBS34	SBS37	SBS38	SBS39	SBS40a	SBS40c	SBS42	SBS45	SBS50	SBS51	SBS52	SBS53	SBS54	SBS57	SBS58	SBS84	SBS85	SBS87	SBS88	SBS92	SBS93	SBS94	SBS95	SBS97	SBS99
0	0.843373493975904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156626506024096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.144230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711538461538462	0	0.144230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536363636363636	0	0	0
0	0.383928571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0803571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160714285714286	0	0	0	0	0	0	0	0.375	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.742574257425743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257425742574257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162162162162162	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837837837837838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178947368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168421052631579	0.652631578947368	0	0	0	0	0
0	0	0	0.743589743589744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102564102564103	0	0	0	0	0	0	0	0	0	0	0.153846153846154	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139784946236559	0	0	0	0	0	0	0.0967741935483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763440860215054	0	0	0	0	0
