SBS3	SBS4	SBS5	SBS40c	SBS92	SBS94
0.533265097236438	0	0	0	0.466734902763562	0
0	0	0.697950377562028	0	0	0.302049622437972
0	0	0	0.753259779338014	0	0.246740220661986
0	0	0.690944881889764	0	0	0.309055118110236
0	0	0	0.66403162055336	0	0.33596837944664
0	0	0.718533201189296	0	0	0.281466798810704
0	0.206020696142992	0.793979303857008	0	0	0
0.425598335067638	0	0	0.252861602497399	0.321540062434964	0
0	0	0	0.678500986193294	0	0.321499013806706
0	0	0	0.721841332027424	0	0.278158667972576
0	0	0	0.734215885947047	0	0.265784114052953
0	0	0.729862475442043	0	0	0.270137524557957
0.425511197663096	0	0	0.574488802336904	0	0
0.45954045954046	0	0.54045954045954	0	0	0
0	0	0.695742471443406	0	0	0.304257528556594
0.612307692307692	0	0	0	0.387692307692308	0
0	0	0.683531746031746	0	0	0.316468253968254
0	0	0.705588822355289	0	0	0.294411177644711
0	0	0	0.669447340980188	0	0.330552659019812
0	0	0	0.727366255144033	0	0.272633744855967
0	0	0	0.736479842674533	0	0.263520157325467
0	0	0	0.719616204690832	0	0.280383795309168
0	0	0.71931696905016	0	0	0.28068303094984
0.436734693877551	0	0	0.563265306122449	0	0
0	0	0.68762278978389	0	0	0.31237721021611
0.649122807017544	0	0	0	0.350877192982456	0
0	0	0.658722592945662	0	0	0.341277407054337
0	0	0	0.639784946236559	0	0.360215053763441
0	0	0.733901515151515	0	0	0.266098484848485
0.515736040609137	0	0	0	0.484263959390863	0
0	0	0	0.421319796954315	0.322842639593909	0.255837563451777
0	0	0	0.735620585267407	0	0.264379414732593
0	0	0	0.691666666666667	0.308333333333333	0
0.618485742379548	0	0	0	0.381514257620452	0
0	0	0	0.698318496538081	0	0.301681503461919
0	0	0	0.662944162436548	0	0.337055837563452
0	0	0	0.69101678183613	0	0.30898321816387
0	0	0	0.66412213740458	0.33587786259542	0
0	0	0.712574850299401	0	0	0.287425149700599
0	0	0	0.735051546391753	0	0.264948453608247
0	0	0	0.676724137931034	0	0.323275862068966
0	0	0	0.705702647657841	0	0.294297352342159
0	0	0	0.731490621915104	0	0.268509378084896
0	0	0	0.750479846449136	0	0.249520153550864
0	0	0	0.669706180344478	0	0.330293819655522
0	0	0	0	0.60390243902439	0.39609756097561
0	0	0	0.749219562955255	0	0.250780437044745
0.659114315139032	0	0	0	0.340885684860968	0
0.498467824310521	0	0	0	0.501532175689479	0
0	0	0	0.763493621197252	0	0.236506378802748
0	0	0	0.70983446932814	0	0.29016553067186
0	0	0	0.685258964143426	0	0.314741035856574
0	0	0	0.639877924720244	0.360122075279756	0
0	0	0.732125834127741	0	0	0.267874165872259
0	0	0	0.711042311661507	0	0.288957688338493
0	0	0	0.715841584158416	0	0.284158415841584
0	0	0.631067961165049	0	0	0.368932038834951
0	0	0.658266129032258	0	0	0.341733870967742
0	0	0	0.619047619047619	0.380952380952381	0
0	0	0	1	0	0
0	0	0.670731707317073	0	0	0.329268292682927
0	0	0	0.379450661241099	0.344862665310275	0.275686673448627
0	0.205799812909261	0	0.794200187090739	0	0
0.424736337488015	0	0	0.575263662511985	0	0
0.490215264187867	0	0	0	0.509784735812133	0
0	0	0.681818181818182	0	0	0.318181818181818
0	0	0	0.678756476683938	0.321243523316062	0
0	0	0.705763397371082	0	0	0.294236602628918
0	0	0	0.363905325443787	0.335305719921105	0.300788954635108
0	0	0.689620758483034	0	0	0.310379241516966
0	0	0.703109327983952	0	0	0.296890672016048
0.553784860557769	0	0	0	0.446215139442231	0
0	0	0	0.660164271047228	0.339835728952772	0
0	0	0	0.710243902439024	0	0.289756097560976
0.639462809917355	0	0	0	0.360537190082645	0
0	0	0.691446028513238	0	0	0.308553971486762
0	0	0.704868154158215	0	0	0.295131845841785
0	0	0	0.738555442522889	0	0.261444557477111
0	0	0.660377358490566	0	0	0.339622641509434
0	0	0	0.733885819521179	0	0.266114180478821
0	0	0.691908713692946	0	0	0.308091286307054
0.454545454545455	0	0	0.545454545454545	0	0
0	0	0	0.725220804710501	0	0.2747791952895
0	0	0.693306693306693	0	0	0.306693306693307
0	0	0.737108190091001	0	0	0.262891809908999
0	0	0	0.735353535353535	0	0.264646464646465
0	0	0	1	0	0
0	0	0.729044834307992	0	0	0.270955165692008
0.465365853658537	0	0	0.534634146341463	0	0
0	0	0	0.6943359375	0	0.3056640625
0	0	0.679874869655892	0	0	0.320125130344108
0	0	0	0.690127077223851	0	0.309872922776149
0	0	0	0.648008611410118	0	0.351991388589882
0	0	0.629667003027245	0	0	0.370332996972755
0	0	0.734870317002882	0	0	0.265129682997118
0.393198724760893	0	0	0	0.267800212539851	0.339001062699256
0	0	0	0.696215139442231	0.303784860557769	0
0	0	0.687739463601533	0	0	0.312260536398467
0	0	0	0.71513353115727	0	0.28486646884273
0.645790554414784	0	0	0	0.354209445585216	0
