2.000005265357856776e-01 1.999993630752252560e-01 1.999997226064539890e-01 2.000002229444385327e-01 2.000001648380965724e-01
2.000004932496634302e-01 1.999993212360233197e-01 1.999997152407168854e-01 2.000002970174481476e-01 2.000001732561481615e-01
2.000004939158474826e-01 1.999992966380936543e-01 1.999997216308888326e-01 2.000003185053000065e-01 2.000001693098699129e-01
2.000005536301605047e-01 1.999992999621979517e-01 1.999997729848606576e-01 2.000001766264557224e-01 2.000001967963252469e-01
2.000004729383204338e-01 1.999993445590808050e-01 1.999998033350935955e-01 2.000001916598827811e-01 2.000001875076223568e-01
2.000004171069443559e-01 1.999993247856012846e-01 1.999997437309971315e-01 2.000002682370290996e-01 2.000002461394281283e-01
2.000005440155306624e-01 1.999992782112309242e-01 1.999996972180255739e-01 2.000002855749290209e-01 2.000001949802839019e-01
2.000005299878423182e-01 1.999993388195003552e-01 1.999997526697963601e-01 2.000002495342950160e-01 2.000001289885658395e-01
2.000004377403943601e-01 1.999993661629594632e-01 1.999996456064919992e-01 2.000003424296602217e-01 2.000002080604940113e-01
2.000004931861351920e-01 1.999992542401644591e-01 1.999997602762254301e-01 2.000002688960404729e-01 2.000002234014344737e-01
2.000005096424047057e-01 1.999993144515576637e-01 1.999997983862438211e-01 2.000001793784700888e-01 2.000001981413238317e-01
2.000004537717589292e-01 1.999992849897427594e-01 1.999998093668632904e-01 2.000002261302332440e-01 2.000002257414018048e-01
2.000004814972437539e-01 1.999993898021469041e-01 1.999997418342706057e-01 2.000003027121052823e-01 2.000000841542334817e-01
2.000006259047992785e-01 1.999992737081290606e-01 1.999996877819690544e-01 2.000002381486924996e-01 2.000001744564101069e-01
2.000004748344728356e-01 1.999992675403548525e-01 1.999997830069326632e-01 2.000003324452700459e-01 2.000001421729696305e-01
2.000005035116053653e-01 1.999993639152341796e-01 1.999997885353454741e-01 2.000002250063147302e-01 2.000001190315002786e-01
2.000005423250423020e-01 1.999992315567752366e-01 1.999996823216225739e-01 2.000003677541324631e-01 2.000001760424274522e-01
2.000004882962484742e-01 1.999993170010573029e-01 1.999997292980189023e-01 2.000002704977854873e-01 2.000001949068896945e-01
2.000004994950031756e-01 1.999992935666199956e-01 1.999997568712494900e-01 2.000002400544828862e-01 2.000002100126444804e-01
2.000005180298951857e-01 1.999993057821081444e-01 1.999997244886426162e-01 2.000002725032955231e-01 2.000001791960584752e-01
2.000005477127262121e-01 1.999991816935517697e-01 1.999997322996862614e-01 2.000003761180769168e-01 2.000001621759587289e-01
