"SBS3"	"SBS5"	"SBS40c"	"SBS92"	"SBS94"
0.546921578133745	0	0	0.453078421866255	0
0.170940413547799	0.706017807098364	0	0	0.123041779353836
0.348392839400152	0.309486601162145	0.342120559437703	0	0
0.361954500450786	0.224928243713625	0	0.331208815058333	0.0819084407772555
0	0.719892703530211	0	0	0.28010729646979
0	0.822261549981526	0	0	0.177738450018474
0.36955727522805	0	0.211783678596618	0.418659046175333	0
0.678884293683671	0	0.00534416856367429	0.315771537752655	0
0.574772507265875	0.108470345764412	0	0.201380305087867	0.115376841881847
0	0	0.839832315354732	0	0.160167684645268
0.246960117931549	0.210312245589678	0.498071091716864	0	0.0446565447619092
0.331278326146871	0.668721673853129	0	0	0
0.497512640220387	0	0.443246990033706	0.0592403697459069	0
0.623491465849432	0.376508534150568	0	0	0
0	0.410246702941434	0	0.351789402668461	0.237963894390104
0.64879037525583	0	0	0.271939956068779	0.0792696686753907
0.665719806648521	0.100940408046522	0	0.233339785304956	0
0.519704694239258	0.0743159047382122	0	0.40597940102253	0
0.352221189306172	0.469960941138873	0	0	0.177817869554954
0.702007046083938	0	0.297992953916062	0	0
0.368583141655833	0	0.428430569735267	0.161022318122598	0.0419639704863014
0.650255249399711	0	0.349744750600289	0	0
0.267252551506465	0.715857947656636	0	0	0.0168895008368994
0.47622617797127	0.198381125564427	0.325392696464303	0	0
0	0.768063314933313	0	0	0.231936685066687
0.924051892107944	0	0	0.0759481078920557	0
0.192752684515278	0.598253787930193	0	0	0.208993527554529
0.213092306241255	0	0.503628621830192	0	0.283279071928554
0.0990297028822237	0.614359612619246	0	0.202489334579187	0.0841213499193432
0.546087690694111	0	0	0.453912309305889	0
0.732647933991593	0	0	0.267352066008406	0
0.419751779449748	0	0.40552319998734	0.174725020562912	0
0.655019951193264	0	0.257237528097642	0.0877425207090941	0
0.544408963556649	0.371664259729364	0	0	0.0839267767139865
0.279545163667069	0.535723120741571	0	0	0.18473171559136
0.357662651854228	0	0.494750465162318	0	0.147586882983454
0.130539129603973	0.465291174246634	0.157242513702135	0	0.246927182447258
0.231777063482561	0.129005800212442	0.333272945987599	0.247076927585309	0.0588672627320892
0	0.521270960187534	0	0.274190714163306	0.20453832564916
0	0.484499224866869	0.340005746648736	0	0.175495028484395
0.471673829307222	0.278018313345843	0.101001714068795	0	0.149306143278141
0.20385180611532	0.394942330217402	0.228250759628434	0	0.172955104038844
0.366224598428756	0	0.500397181815592	0.133378219755652	0
0	0.699499197061717	0.157738634959156	0	0.142762167979127
0	0.677981556857586	0	0	0.322018443142414
0.133745456847324	0	0	0.60677738254466	0.259477160608016
0.278274705126578	0	0.721725294873422	0	0
0.324496774156504	0.454504943194201	0	0	0.220998282649295
0.488730814561599	0	0	0.511269185438401	0
0	0.0140561756919337	0.978090646197605	0	0.00785317811046114
0.641769642225772	0.0911673042935077	0	0.26424978145176	0.00281327202896056
0.512489368347308	0	0.416327897818232	0	0.0711827338344595
0.293287551651195	0	0.331414442504505	0.348601811469988	0.0266961943743111
0.301940588411168	0.444717426290239	0	0.253341985298593	0
0.419572288022507	0.246051607568569	0.168523491648807	0.0633402625820007	0.102512350178116
0.500838901225793	0.499161098774207	0	0	0
0.403212968658976	0.126520566007481	0	0.301388007074193	0.168878458259349
0	0.705221656779595	0	0	0.294778343220405
0.488430199990486	0	0.0827566386788902	0.428813161330624	0
0.423696216179374	0	0.576303783820626	0	0
0.104386098887434	0.692585494523289	0	0	0.203028406589278
0.686400614429709	0	0	0.313599385570291	0
0.310844850185628	0	0.670139752494459	0	0.019015397319913
