	SBS3	SBS5	SBS40c	SBS92	SBS94
Sample1	0.13764478320919807	0.13801080150581074	0.3628263386773359	0.17301550717825442	0.18850256942940083
Sample2	0.23547762774590056	0.27297744400913154	0.1733215776488113	0.11525962975925064	0.20296372083690598
Sample3	0.15350607377735564	0.4338186223695357	0.08888617994483822	0.11278440577862092	0.2110047181296494
Sample4	0.2632543300413852	0.39015229331243884	0.013484902426640659	0.1511134915696185	0.1819949826499168
Sample5	0.18942132839695905	0.0	0.32089732153068673	0.22022452153763847	0.26945682853471564
Sample6	0.2391499828768563	0.20329922817014706	0.18801003487561838	0.25652935247665193	0.11301140160072645
Sample7	0.25051054937114164	0.2835755094705161	0.18694501510257	0.1962156381681109	0.08275328788766131
Sample8	0.26473168210008424	0.22093157103735866	0.11252583836810416	0.29408701917028107	0.10772388932417204
Sample9	0.16929310244617485	0.10189535261591644	0.364872270119001	0.20150177790007856	0.16243749691882922
Sample10	0.14522033889251915	0.10471098287972501	0.20196508706462302	0.2653578542748908	0.2827457368882421
Sample11	0.2542325054921949	0.3691597653741339	0.007211546829308337	0.2161881987545153	0.1532079835498475
Sample12	0.22744709464903282	0.11065039688799373	0.28097479831350347	0.1950634258878058	0.1858642842616641
Sample13	0.23637170336958543	0.15920185131788878	0.19853349160577966	0.20382460169998817	0.202068352006758
Sample14	0.24461623098122315	0.22075932755327476	0.19565432935306123	0.19530285302097247	0.14366725909146857
Sample15	0.12099872721777051	0.27336881368693894	0.21149711446019198	0.21708140903685125	0.17705393559824728
Sample16	0.2214080501831308	0.1337174184038217	0.31286761771445815	0.17016600184411101	0.16184091185447813
Sample17	0.05783179510604019	0.23608140024992114	0.241403876238186	0.18944926164211967	0.275233666763733
Sample18	0.16987331536052838	0.06127190248005619	0.4470222347827829	0.13174823376296524	0.19008431361366712
Sample19	0.25263984260554956	0.06312501482872677	0.2419750350431177	0.16513063121952773	0.27712947630307816
Sample20	0.08010765990966663	0.33633055790651994	0.23160676787432974	0.19866419274486383	0.15329082156461998
Sample21	0.295266084969531	0.0	0.2219922108095491	0.37773669635041873	0.10500500787050128
Sample22	0.255296247174343	0.11869497691341833	0.33129756718698256	0.15219393325590588	0.14251727546935025
Sample23	0.13780374997381079	0.33235196170516584	0.23327465979547712	0.07611658871690927	0.22045303980863704
Sample24	0.3340785232806257	0.17255039619728874	0.2722059766954351	0.12404966584682224	0.09711543797982805
Sample25	0.08090259703839298	0.14511478138382455	0.33551831340718313	0.14362598505018817	0.2948383231204111
Sample26	0.23824725975699143	0.1464377539360244	0.2530784637870814	0.21797398859393574	0.144262533925967
Sample27	0.16918103187102312	0.2526933132681677	0.26315300433453176	0.14304314686726385	0.17192950365901366
Sample28	0.3382638789597439	0.16083810224660122	0.2623383070757282	0.1606514513970829	0.07790826032084373
Sample29	0.19882586410247416	0.1450322921193201	0.31828512665113	0.16592261174032805	0.17193410538674758
Sample30	0.14429768987115804	0.0	0.22829234945066385	0.30989101659060253	0.3175189440875756
Sample31	0.19776607258500636	0.017422526776753478	0.3930737326663741	0.1763043705315031	0.21543329744036288
Sample32	0.03908800339829972	0.21010118407345565	0.321036440555948	0.19299233309650685	0.2367820388757897
Sample33	0.30569930293737196	0.0909460341233002	0.11305739188925784	0.2724475985348195	0.21784967251525056
Sample34	0.12268049170513441	0.4116860208654529	0.18245649249067092	0.0920223193078975	0.19115467563084418
Sample35	0.0978441149291173	0.35353745691855887	0.14611076839489778	0.15230553913918546	0.25020212061824054
Sample36	0.059748096571736346	0.2322636655506825	0.2896614087202097	0.1728067128376315	0.2455201163197399
Sample37	0.23724560448610532	0.15949257534724784	0.20473040190780847	0.2126879524943975	0.18584346576444086
