SBS2	SBS3	SBS5	SBS7a	SBS7b	SBS7d	SBS8	SBS10a	SBS10b	SBS12	SBS13	SBS15	SBS16	SBS17a	SBS19	SBS20	SBS21	SBS24	SBS26	SBS27	SBS28	SBS30	SBS31	SBS32	SBS33	SBS35	SBS38	SBS39	SBS40a	SBS40c	SBS42	SBS45	SBS48	SBS49	SBS50	SBS52	SBS53	SBS54	SBS57	SBS58	SBS84	SBS85	SBS86	SBS88	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS99
0	0.87012987012987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879120879120879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.747252747252747	0	0.164835164835165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463917525773196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536082474226804	0	0	0	0
0	0.352941176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0784313725490196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156862745098039	0	0	0	0	0	0	0	0.411764705882353	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.229166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.770833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293478260869565	0	0	0	0	0	0	0.543478260869565	0	0	0	0	0	0	0	0	0	0	0	0	0.16304347826087	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88659793814433	0	0	0	0	0	0	0	0.11340206185567	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892857142857143	0	0	0	0	0.107142857142857	0
0	0	0.679245283018868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320754716981132	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0
0	0.313253012048193	0	0	0	0	0	0	0	0	0	0	0	0	0.180722891566265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120481927710843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385542168674699	0	0
0	0	0.480519480519481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519480519480519	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119565217391304	0.260869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619565217391304	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120879120879121	0	0	0	0	0	0	0	0	0	0.879120879120879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.153225806451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846774193548387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0.0714285714285714	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.865168539325843	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134831460674157	0	0	0	0	0	0	0
0	0	0.816326530612245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0816326530612245	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318181818181818	0	0	0	0	0	0	0.681818181818182	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.674157303370786	0.325842696629214	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729166666666667	0	0	0	0	0.229166666666667	0	0	0	0	0	0.604166666666667	0	0	0	0	0.09375	0
