3.333353159308650726e-01 3.333321536662533502e-01 3.333325304028816327e-01
3.333354566825560972e-01 3.333318997732464539e-01 3.333326435441975044e-01
3.333353396784118905e-01 3.333320370257065735e-01 3.333326232958814805e-01
3.333353795876106140e-01 3.333321200302191700e-01 3.333325003821702714e-01
3.333354812057979788e-01 3.333321522170646367e-01 3.333323665771374400e-01
3.333357656598225360e-01 3.333318602341371339e-01 3.333323741060403855e-01
3.333352077384522660e-01 3.333322161939654693e-01 3.333325760675823202e-01
3.333353228840528759e-01 3.333324215686369052e-01 3.333322555473101634e-01
3.333355329646399134e-01 3.333320416672184150e-01 3.333324253681417271e-01
3.333355015080906592e-01 3.333320145174873961e-01 3.333324839744218893e-01
3.333351076150448677e-01 3.333322413765013592e-01 3.333326510084537175e-01
3.333356882825924683e-01 3.333319861653008531e-01 3.333323255521065676e-01
3.333354571253328014e-01 3.333318460781503068e-01 3.333326967965168364e-01
3.333353042080273165e-01 3.333320764735206998e-01 3.333326193184520392e-01
3.333354362666730020e-01 3.333318768689373934e-01 3.333326868643896601e-01
3.333355744104191665e-01 3.333318966427527563e-01 3.333325289468280217e-01
3.333354552523142833e-01 3.333320619699661203e-01 3.333324827777195409e-01
3.333353066571906886e-01 3.333322341371126041e-01 3.333324592056967628e-01
3.333354896160377057e-01 3.333320709770521417e-01 3.333324394069102081e-01
3.333354629018193682e-01 3.333319352921810252e-01 3.333326018059995510e-01
3.333353000323153181e-01 3.333319413856691282e-01 3.333327585820154981e-01
